id,type,a_g,b_g,c_g,snratio_g,chisq_g,nrise_g,a_r,b_r,c_r,snratio_r,chisq_r,nrise_r
ZTF21aapvxnf,(TNS) SN Ia-91T-like,0.44484715362067856,5.086018194918609,5323.627682816928,12.160567085254849,106.36564455169034,8.0,0.2973442323735434,2.9961620582353863,4919.091552299755,11.993811542899143,171.23403021106517,8.0
ZTF20aawefgx,(TNS) SN IIb,0.015810782533129057,421.2473576260382,463083.3704141472,4.05197054431502,167.32277417833788,9.0,-32.12128146302861,30.428929350996718,1112.9296218321276,5.743889207718545,1760.566716399779,12.0
ZTF18aaylcqb,(TNS) SN IIP,0.0005254032332925053,10397.776535413088,227770.46541273946,5.167700209075765,800.8590979981141,23.0,0.17734669906322878,-17.959664179226266,13264.671392956972,21.019833425566308,113.82641121259307,58.0
ZTF20abekcdt,(TNS) SN II,3.5766888348039068,0.09079110053620865,2488.8713154140823,12.748721115389836,37.50117280573718,4.0,1.1684899258425252,0.39618455603682856,2305.1591534203276,10.583085304919493,8.692462314077956,6.0
ZTF18acxhfkq,(TNS) CV,0.3939282761729931,5.533581800805941,4862.395359810238,7.51964245270794,1836.2303157521042,7.0,0.3840782132065088,1.5095707396142397,3819.4041582589657,12.522288558180492,527.272390544364,6.0
ZTF20aadcbvz,(TNS) SLSN-II,0.5412843915688795,-3.2676464755068713,2852.0202776284973,9.303771838856715,647.9753586189834,10.0,0.0610250521364681,-8.350401321893731,4058.3127989189406,10.87159948504403,60.74939221522902,12.0
ZTF19abudjie,(TNS) SN II,47.0029936405591,-48.00039378557694,1477.2719137094023,6.921452239877883,18.861525025467785,4.0,0.22998217767975102,-9.09070344504728,3817.6254772144944,11.08790319331652,7.658979885482498,5.0
ZTF20aceqspy,(TNS) SLSN-I,0.36281234765076925,2.2877658491500115,1333.8005307069066,6.438742276734802,201.7344268134518,9.0,0.09704192135663471,7.796179323574744,1349.7535772935378,5.953881129194248,54.29295902110898,13.0
ZTF18abeqxcc,(TNS) CV,0.027660778965458474,-75.61127959784457,17829.53091571895,16.978928759743756,42973.99559003518,74.0,0.03146797209851333,10.326655813456274,18664.029903029546,22.598162869829878,92999.36097275515,39.0
ZTF18ablpmiy,(TNS) CV,0.5373452107640138,3.0913703537080153,11361.106651285245,17.105472523360582,378.0890137028453,5.0,0.007632300741398851,-79.5696514509351,8555.89861260714,18.787489690849448,550.2483403942593,7.0
ZTF20acbekkx,(TNS) SN IIn,0.20574822533546036,6.734656156102421,2817.6215959346628,8.434993930421546,72.26365760215482,20.0,0.20732355328112678,5.824774438596497,2545.7758081982042,10.18217661874157,106.92680919415407,18.0
ZTF21aaafjad,(TNS) SN Ia-91T-like,0.6146596732666219,-1.9619734635114363,2077.115911823824,8.81196756259536,6.636674099119281,5.0,0.2496949547922026,-0.986430986790992,2528.933742608937,8.915246848478693,34.666953819070315,8.0
ZTF21aahduvm,(TNS) SN II,0.9892578170164972,-0.9922026034246078,1779.5281550554232,9.66948963069269,6.8451211086322115,5.0,1097.8407460043386,-1099.6294811775379,1928.5666414563034,7.62898753425773,5.039191880626422,4.0
ZTF20abwrcmq,(TNS) SN Iax[02cx-like],0.4246522513888653,1.6831194452394098,31494.921334342635,25.375170057055964,17.25173633455073,6.0,1.0661047196942146,2.780306236334148,21055.02776905767,22.428052403791924,20614.50311357921,8.0
ZTF20achupkw,(TNS) SLSN-II,0.22730180853145285,5.207023909596399,1829.9371226476203,8.121664182830122,220.88855516845138,12.0,0.21982889412761564,9.054740176849831,1924.4960948987898,9.578547381539865,352.26737170084533,14.0
ZTF20abfadah,(TNS) SN Ibn,0.2199508823075029,1.8469065811862042,2152.558643894853,8.178156882375902,143.13441560107765,24.0,0.19799278878404286,3.2024856987370875,2405.597657591399,8.928796353545028,46.25244563948914,20.0
ZTF20abqdkne,(TNS) SN Ic,0.4797191521769582,0.8470830104255299,5948.310175277711,13.286913013843527,118.45549238719605,7.0,0.5057982296049885,2.748396531931347,8963.903077669307,16.827239477769734,357.06631756085216,10.0
ZTF20adadlqv,(TNS) SN II,0.05249758543654375,-739.3013499221803,1990.785957053874,5.617616563428559,164.82072957080078,5.0,0.14905267826875987,-8.476913464960274,3319.957830782951,11.404884197938358,43.50636072484876,18.0
ZTF20acuhgar,(TNS) SN II,0.11831332872874221,13.475242350855108,7234.197941005994,13.72875831087801,368.72407441421586,16.0,0.12679290288177386,14.065203383989262,7791.419117835635,16.06503335257591,324.48879026237694,17.0
ZTF20aahapgw,(TNS) SN IIn,0.14407505717793437,7.662027019865207,2018.7999196977316,9.269315118582252,85.88929114589342,13.0,0.1258314127811241,11.990782497435845,2622.6391110167765,8.918823559373228,31.624824731979736,13.0
ZTF18aayoxjs,(TNS) CV,0.04196881141003109,-29.898871830066483,6692.673758583933,16.746359228760156,1431.8217698310507,9.0,0.1183912617400634,-9.251333551626676,8165.671894412708,18.917971097582004,989.5863255928318,8.0
ZTF18acvvtis,(TNS) SN Ia-91T-like,5.768108391131647e-05,-11290.39189750014,5318.313704738714,12.976459208551026,246.47006810894308,50.0,0.4283062061247543,-10.542520514558037,5372.856036941009,15.296648021138243,84.33667018979273,52.0
ZTF20adaduxg,(TNS) SN II,50.78542124024201,-53.11615689301874,2328.977282497062,6.375939291926949,692.4947569454899,4.0,12.714543303310368,-13.557877150275267,3100.9466040086922,9.211571087718562,198.72961456496435,15.0
ZTF18aaaaljy,(TNS) M dwarf,0.05751490303570054,-2.7489395681511266,16648.43825258046,20.141915976195687,993.0126468912406,7.0,0.05928681028707967,-11.757207822475628,40644.29983393692,28.28082281750568,60077.56160998882,7.0
ZTF19abzfxel,(TNS) SN IIn,0.3174662996346994,-320.9646348315883,922.0133794487278,4.51455472100861,761.3411299716649,7.0,0.09660785421342036,-935.0556001861232,986.5785437673892,5.992918788316897,1547.325037765843,21.0
ZTF18abokhip,(TNS) CV,1.2569397009818644,0.8630151547109945,2998.0102700913517,10.059441176861425,708.3694887613212,6.0,0.00026996294073181737,20553.76537759525,844386.2321613813,13.122744976039398,644.6318898917175,6.0
ZTF18abaljsw,(TNS) SN II,3.6278720214939186,-0.9988243409460034,8947.697578633963,18.496529171996194,107.65195717598226,69.0,2.6599388032157396,-28.902089644545097,17550.204435275893,25.588884989953627,554.482294153801,73.0
ZTF21aarasvn,(TNS) SN II,1.0197965466152112,-0.332158492506698,11539.731799550415,23.370577892079474,5.007865767201053,5.0,0.7328060938175543,0.4438076801611547,10992.744189072624,23.298887386121947,37.082881555489195,7.0
ZTF20acpomqu,(TNS) SN II,0.20034222626285325,-5.272122728486436,1701.0919342855025,6.618472143189533,6.386360397837699,5.0,1.1899104729941508,0.12238133704792996,1443.1607466208475,5.906750928008532,8.507165387745912,8.0
ZTF20aadchdd,(TNS) SN II,-0.07260613903312563,75.71385820001838,4469.335017083666,10.874722513617797,116.79150869222842,5.0,324.9809709459554,-120.00782825748058,2283.98681630145,9.532607559977773,10096.5682891484,12.0
ZTF19acdttsd,(TNS) CV,0.12845032326137978,-14.668336018491312,1861.7805089643855,6.903861657681785,590.7770932041128,23.0,0.02457246109103059,-25.049230970793612,2674.9128443353584,8.464860090712136,337.6157788352814,25.0
ZTF20abpzatb,(TNS) SN Ib/c,0.07933185408106405,-0.8019715247273096,2246.687947608564,6.0335626760698124,53.42877278110919,7.0,0.12385959540336167,10.253435230039601,1694.1345391945663,6.507809352835568,93.69431197364656,16.0
ZTF20abfcdkj,(TNS) SN II,0.9762214115182453,0.8221074335192333,1897.4527796980099,10.2628566607705,78.46776462189072,11.0,0.5344228057454424,1.5081765392897857,1954.5315565380488,9.819359016916765,49.01761168516629,13.0
ZTF20actekrw,(TNS) SN Ic,0.3249075793322369,0.49560330662527763,2656.911570728997,5.0648629398563365,182.73481476999822,4.0,0.3090446127372497,1.9020796049094109,4229.804278383736,13.187454502251475,125.18189504357085,10.0
ZTF20acwxrgp,(TNS) SN II,0.05756295853828313,10.135335397139034,1832.5074216724179,7.062688984869018,61.76743049081296,11.0,0.03590006794403968,56.20717095023198,6524.600471309362,6.92121510343062,74.53229491165229,8.0
ZTF18abmeehs,(TNS) CV,3944.8101943348843,-3946.765374746878,4929.828168354921,13.723723172569814,247.60160398232816,4.0,-4483.282425330963,4481.383024903092,5760.181666085058,13.143209702680632,316.7743904866044,4.0
ZTF18abcscdr,(TNS) CV,0.00028437708191222797,14485.422240911368,679915.8335295607,21.279337823274517,1635.9089435760807,24.0,0.00033091777741179495,11179.162254474382,585467.8259608092,20.351711061914216,5188.28803809426,25.0
ZTF18acaxfpa,(TNS) CV,0.0317925134093314,-64.23817737637012,17706.987484396028,16.91573032414122,39454.17820872396,70.0,0.056529427106317476,16.10480957316558,17692.779565343575,21.091877818358697,94499.37825308858,39.0
ZTF20aamamnp,(TNS) SN II,0.28857298222853184,5.323848183704167,4812.405455695227,10.41763215892516,99.04861269490371,7.0,0.16055094835251876,-20.50951967024766,5186.424320194243,11.876619600244137,0.5001478179985895,4.0
ZTF18acdvony,(TNS) AGN,0.03660892691053514,91.8666203689653,4411.854227513658,11.407315767463189,9042.900464288723,33.0,0.021852118962978728,72.39091820179844,4642.389783273096,10.52854559378481,3626.6927898229173,29.0
ZTF20aaurfwa,(TNS) SN IIn,0.17268215421214356,-4.231622649593962,6969.660373986241,17.208729634122136,53.45809630059813,11.0,0.07933737442372796,9.979087417949582,10704.107517734714,18.92507292478665,161.66912793376537,19.0
ZTF20abjcyhg,(TNS) SN II,1.2042845284166952,2.060190492151759,11091.493295388493,20.433207433470542,65.90907065782577,8.0,0.6900917289612851,-0.03426256198820839,10191.813579386158,20.956319841936704,49.44414013667745,8.0
ZTF18aacnlxz,(TNS) SN II,0.45757129383810735,-3.1962062892378,2596.3424519495106,8.899213826451723,0.0010038013108745853,4.0,2.2753849976372496,-1.357992836059187,2211.8909715239206,8.22173220656722,7.318738662025716,4.0
ZTF19acyjviz,(TNS) SN IIn,0.18279632886558905,5.907946561156928,8168.985145595424,17.384825245985112,87.57617991452187,9.0,0.13613293991930484,9.563400435504443,8583.248760926352,15.615522368937457,272.4499578195414,12.0
ZTF18abvtemh,(TNS) CV,0.007594189197242087,-117.85293275526328,8505.80578259518,14.006322332268585,82186.22198106568,45.0,0.010842484071765664,87.13174851939169,4627.770021619572,8.18452070540153,267728.99503219884,26.0
ZTF20achbejn,(TNS) SN II,0.5011689938271725,-4.246838438431504,3006.2773189097766,12.037282392871349,1.7844904872332974,5.0,0.19803905208280442,-1.819788104875099,3310.297426969577,11.399696279059123,53.20067116574966,9.0
ZTF20acxqnhn,(TNS) SN Ia-pec,0.3115476902957681,1.5633093934123299,2954.0172881121207,8.987447221118757,0.5483940450069097,4.0,0.39568236315773864,0.8130589163994502,2753.6773126469325,9.55266215554543,13.790013925982189,4.0
ZTF19acewuwn,(TNS) SN II,17.86784910676075,-133.86808448613056,2265.1875076035844,8.873467816399987,46.709342245338725,5.0,0.18300987105117508,-2.0449215377755445,3201.4018716100313,10.921631262395959,75.16005518880476,15.0
ZTF18aaaeetk,(TNS) Varstar,0.5765679577361843,-0.8766703416169483,9588.955246178266,17.867445580051793,1520.596845707857,7.0,0.5209077265029501,-1.6329299907170705,9869.79027581387,20.098977954976373,2122.806868030183,6.0
ZTF18aagrdvj,(TNS) SN II,0.07108853931750146,-50.33133000577849,6727.8606892356065,16.7696164892951,78.76397005100031,60.0,0.024084180385870752,-204.98329270432444,7330.483853509368,17.08816422259608,79.2861583578677,57.0
ZTF18acvkfna,(TNS) AGN,-0.0011279631858772394,-4772.055506610799,1181570.0346721367,10.599553559210108,1833.841419732658,15.0,4.747056620926315,-22.749987540638948,4315.9883374880765,9.816515035897654,2840.5857992696897,15.0
ZTF20abvvnqh,(TNS) SN Ic,0.22260069161461507,-1.0616097655068917,2357.79931881561,8.079509834120532,101.60850468525894,8.0,0.25946528481637027,4.051193491649967,3096.7539714834397,8.558200438095326,87.82761358871755,9.0
ZTF19aacjbsj,(TNS) SN IIn,-0.012356968249625499,75.84185114353015,4950.287303414178,7.818467320792366,35.59153833214375,6.0,0.9328487632603422,1382.9695618235926,975.908433913336,7.9982393054292595,18856396271680.3,12.0
ZTF20acqgklx,(TNS) SN IIn,0.13506213149459317,5.988136854571456,2148.9075876763804,6.793613645035266,210.2786844504221,16.0,0.0979404705727996,11.748278474207348,3166.749147281402,8.253721696205433,235.6033822342789,18.0
ZTF20acvdfmw,(TNS) SN II-pec,0.04155298267852841,171.3078504743648,1185479.6927791147,7.398905055240955,56.897444724493184,6.0,0.22794375399505742,2.4790677927256133,2963.4592546056333,9.599394132674721,56.93392061056779,6.0
ZTF20abbpkpa,(TNS) SN II,0.26854043871282157,0.47031513711327433,3172.361769378628,8.455181781347537,82.33181280862006,7.0,0.4827975399714837,-0.8782218287424104,2465.286493676451,9.682700170767832,16.78194230008301,7.0
ZTF20acklcyp,(TNS) SN IIn,10.20835143689384,-26.31619270450976,3923.70348087968,12.903336053539364,3931.0492673021954,13.0,0.8504374715040958,0.80241908388664,6102.753150817308,15.153970904782602,363.99734326860687,16.0
ZTF20aadyyvk,(TNS) SN IIn,0.13719749821819802,9.432925200708093,2778.920094743491,8.4070859725156,162.72380978234563,20.0,0.13622970673807175,6.195146260420745,2678.522851307348,9.532851958711358,69.35023473982525,18.0
ZTF21aapdxxs,(TNS) SN II,1.2354806379748926,0.17271603043492678,3484.903242947486,10.568056520274311,9.677666396016976,4.0,0.8321420214407964,-1.2008673140207378,4355.133235028204,13.80727463556703,28.530203804260694,5.0
ZTF20abjyoty,(TNS) SN II,0.37724823015894643,-73.67418425466616,1982.109400572275,6.630189023705218,129.90776636871135,5.0,0.0020368563807437244,989.8329744897217,42495.13348795266,17.593004010082034,11.742411971567739,7.0
ZTF19abfvnns,(TNS) SLSN-I,3.0881804248636557,-36.6887777850737,1471.0747505201853,6.546043413959041,326.1404088949566,9.0,25.599675163866454,-14.836443227744994,1980.765592333106,7.370183923744014,128.4663420457857,10.0
ZTF19adccrca,(TNS) SN II,0.025135872835142403,27.930510289681497,3980.283577930678,7.871064179696606,351.8337075599393,20.0,0.04340245098953004,21.313019649975466,3945.1414544928793,9.776622937710213,575.2296694413698,24.0
ZTF18abznpwk,(TNS) SN II,343.4447928626289,-345.3809395492265,4511.576374476969,12.212595300446802,301.0228153296372,17.0,0.8433959537720486,-1.7138488782619177,5661.150791496386,13.291771815543411,134.4676286498658,15.0
ZTF20aamazzl,(TNS) SN II,0.45106332040597075,4.124639282632871,2481.5461006714686,8.277291065176758,190.66815165768054,8.0,0.26383353010618865,5.246819296107423,2361.4349728591,9.605395388197927,163.9003341239836,9.0
ZTF18aabxlsv,(TNS) SN Ib,0.005497433860377392,-197.87462895071423,837.2830238817312,4.328535337927578,25.594678218820867,13.0,0.02164707641400177,-31.0141278961015,1057.17793609926,5.008044016574054,109.62107392572608,11.0
ZTF19aackqmg,(TNS) AGN,0.026141921684659796,-21.109443440962924,1584.2507090929196,6.833499954436286,58.56489946953413,10.0,4.401754555749516,-8.947272586245662,2187.9942757281915,5.6495557973004695,23.56452602224308,4.0
ZTF20aatqesi,(TNS) SN II,0.03238571922762549,-0.0639721502063143,5904.62998088211,14.053075598974944,24010.75133238468,27.0,0.04025404427026064,21.26120677521094,7897.191423908099,18.044360853078675,17858.806280266424,39.0
ZTF21aanwmxn,(TNS) SN II,0.1583079459880552,-4.7453323061983035,3402.01517599773,9.511035652060404,4.997574881620622,5.0,0.22144677145653757,2.3917560393605632,3371.583996216921,11.091631230617962,125.24860282893194,10.0
